Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:12:37,25.66359375,136023,38.189121586597246,999.3318853292966,116.52761601951299,13,21,22,13,21,22,2352,682,114,17,1,0
2025-02-28 16:12:38,25.6032421875,137021,38.21788081834509,999.3353734429016,116.4982480665761,13,21,22,13,21,22,2352,682,114,17,1,0
2025-02-28 16:12:38,25.518671875,137021,38.20907973079596,999.3376632853702,116.47896892717725,13,21,22,13,21,22,2352,682,114,17,1,0
2025-02-28 16:12:39,25.4505078125,138147,38.237027182472985,999.3313122500932,116.53244103173324,13,20,21,13,20,21,2331,672,104,14,0,0
2025-02-28 16:12:40,25.384296875,137807,38.271020384687546,999.3282605566004,116.55813465300716,13,20,21,13,20,21,2331,672,104,14,0,0
2025-02-28 16:12:41,25.3079296875,137920,38.32148418392538,999.32877537569,116.55380014813841,13,20,21,13,20,21,2331,672,104,14,0,0
2025-02-28 16:12:42,25.246015625,137807,38.35009061519219,999.3225640829238,116.60609607388047,13,19,20,13,19,20,2319,659,100,10,0,0
2025-02-28 16:12:43,25.1872265625,138261,38.39071069147383,999.3181746142182,116.64305332641304,13,19,20,13,19,20,2319,659,100,10,0,0
2025-02-28 16:12:44,25.1157421875,137807,38.45339127000875,999.3182404359962,116.6424991371696,13,19,20,13,19,20,2319,659,100,10,0,0
2025-02-28 16:12:45,25.06046875,138603,38.50023800968654,999.3197938468089,116.62942013776366,13,20,21,13,20,21,2376,682,100,14,0,0
2025-02-28 16:12:45,25.0106640625,138946,38.55935860980406,999.31500391915,116.66974916253798,12,18,19,12,18,19,2220,629,90,14,0,0
2025-02-28 16:12:46,24.9512890625,139061,38.60579563752135,999.3286553545855,116.55481066229531,12,17,18,12,17,18,2130,606,94,12,0,0
2025-02-28 16:12:47,24.88703125,138034,38.66928143799272,999.333987533423,116.50991663425748,12,19,19,12,19,19,2223,621,106,14,0,0
2025-02-28 16:12:48,24.8301953125,137807,38.756971645349886,999.3362978272856,116.49046528435527,12,19,20,12,19,20,2223,618,110,16,0,0
2025-02-28 16:12:49,24.7758984375,137582,38.844963319864874,999.3290261835621,116.55168847895433,12,19,21,12,19,21,2241,622,114,18,1,1
2025-02-28 16:12:50,24.7176953125,138147,38.93258115480435,999.3324545395537,116.52282358391489,12,18,20,12,18,20,2166,593,116,18,1,1
2025-02-28 16:12:51,24.6548046875,138717,39.01974141581221,999.3244257815942,116.59042149039794,12,18,20,12,18,20,2211,593,118,19,1,1
2025-02-28 16:12:52,24.5907421875,139407,39.07749351280078,999.3230634044241,116.60189203109728,12,19,20,12,19,20,2238,597,120,20,1,1
2025-02-28 16:12:53,24.5223828125,140221,39.14653579274777,999.3265194315165,116.57279402016417,12,20,24,12,20,24,2325,631,126,26,4,4
2025-02-28 16:12:54,24.4532421875,139523,39.19791446070866,999.330359902092,116.54045928393175,12,19,23,12,19,23,2307,627,114,24,4,4
2025-02-28 16:12:55,24.3887890625,139523,39.26153200111713,999.3265411526859,116.57261113909443,12,20,24,12,20,24,2283,632,120,26,4,4
2025-02-28 16:12:55,24.3274609375,139407,39.31962514827066,999.328020623225,116.56015476594419,13,20,25,13,20,25,2340,648,112,28,4,4
2025-02-28 16:12:56,24.271015625,139523,39.39586182237273,999.336055584329,116.49250482947187,13,20,25,13,20,25,2340,648,112,28,4,4
2025-02-28 16:12:57,24.207734375,140104,39.465527515517564,999.3428491537497,116.43530706921568,13,20,25,13,20,25,2340,648,112,28,4,4
2025-02-28 16:12:58,24.1446484375,140573,39.51760659042374,999.3482221070408,116.39007026358325,12,19,23,12,19,23,2238,635,102,25,4,4
2025-02-28 16:12:59,24.090546875,142117,39.52951315549673,999.3463256211846,116.4060374303512,12,19,23,12,19,23,2238,635,102,25,4,4
2025-02-28 16:13:00,24.02296875,141282,39.551747283744405,999.3422867646652,116.44004203442294,12,19,23,12,19,23,2238,635,102,25,4,4
2025-02-28 16:13:01,23.9735546875,141639,39.57590314898504,999.3327382752697,116.52043468691532,13,19,23,13,19,23,2232,640,106,23,4,4
2025-02-28 16:13:02,23.927265625,142238,39.623899099849076,999.3336984359775,116.51235067158554,13,19,23,13,19,23,2232,640,106,23,4,4
2025-02-28 16:13:02,23.8696484375,141163,39.67070549631036,999.3430996991741,116.43319763375746,13,19,23,13,19,23,2232,640,106,23,4,4
2025-02-28 16:13:03,23.8204296875,141878,39.73604990436567,999.347716263812,116.39432912932509,12,19,23,12,19,23,2199,628,102,23,4,4
2025-02-28 16:13:04,23.769453125,142358,39.80710941487181,999.3545279650228,116.33697925257978,12,19,23,12,19,23,2199,628,102,23,4,4
2025-02-28 16:13:05,23.699140625,142238,39.86437059228395,999.3492048781529,116.38179598518884,12,19,23,12,19,23,2199,628,102,23,4,4
2025-02-28 16:13:06,23.6438671875,142842,39.92912638115224,999.3452079037481,116.41544788940715,12,19,23,12,19,23,2169,627,98,22,4,4
2025-02-28 16:13:07,23.59171875,143329,40.017785991086825,999.3413210581949,116.4481726854117,12,19,23,12,19,23,2169,627,98,22,4,4
2025-02-28 16:13:08,23.5258984375,142358,40.06968193037588,999.3418615358661,116.4436221970352,12,19,23,12,19,23,2169,627,98,22,4,4
2025-02-28 16:13:08,23.477265625,142358,40.15287883429467,999.33873805145,116.46992003533384,11,17,21,11,17,21,1974,575,86,21,4,4
2025-02-28 16:13:09,23.426484375,144066,40.21819400035615,999.3423380728174,116.43961005170253,11,17,21,11,17,21,1974,575,86,21,4,4
2025-02-28 16:13:10,23.363203125,142600,40.29398785887875,999.3384949201693,116.47196705557712,11,17,21,11,17,21,1974,575,86,21,4,4
2025-02-28 16:13:11,23.3180859375,142117,40.38354612005533,999.3378610055485,116.47730424015855,11,17,20,11,17,20,1917,563,80,20,4,4
2025-02-28 16:13:12,23.2770703125,141639,40.45587503738949,999.3424716456669,116.43848545150145,11,17,20,11,17,20,1917,563,80,20,4,4
2025-02-28 16:13:13,23.2223828125,142842,40.55628941273053,999.341103898668,116.45000103514522,11,17,20,11,17,20,1917,563,80,20,4,4
2025-02-28 16:13:14,23.17609375,142479,40.62811262709802,999.3367146025511,116.48695627942114,11,17,19,11,17,19,1995,584,78,16,1,1
2025-02-28 16:13:15,23.13078125,143820,40.723705910022254,999.340904465007,116.45168014426363,11,18,20,11,18,20,2082,603,90,18,1,1
2025-02-28 16:13:15,23.0721875,142600,40.812002409470445,999.3380409826343,116.47578893971539,11,18,19,11,18,19,2082,603,90,16,1,1
2025-02-28 16:13:16,23.01671875,142117,40.92433793057063,999.333562754681,116.51349303171827,12,18,20,12,18,20,2151,622,94,16,1,1
2025-02-28 16:13:17,22.9594921875,142117,41.02470489615796,999.3243464162281,116.59108970710845,12,20,23,12,20,23,2217,637,113,25,2,2
2025-02-28 16:13:18,22.9032421875,143085,41.11930201115248,999.3150503743498,116.66935803001044,13,20,24,13,20,24,2343,662,119,25,2,2
2025-02-28 16:13:19,22.8536328125,142842,41.21465978991241,999.310134123194,116.71075080270475,14,21,24,14,21,24,2475,706,119,23,1,1
2025-02-28 16:13:20,22.810078125,142358,41.322577191117695,999.317254121686,116.65080345528368,14,22,25,14,22,25,2568,730,121,24,1,1
