# PM2.5 Sensor Data - Collected on Raspberry Pi
Timestamp,PM1.0 (std),PM2.5 (std),PM10 (std),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-14 15:23:22,0,0,0,0,0,0,228,61,13,1,0,0
2025-02-14 15:23:23,0,0,0,0,0,0,228,61,13,1,0,0
2025-02-14 15:23:24,0,0,0,0,0,0,228,61,13,1,0,0
2025-02-14 15:23:25,0,0,0,0,0,0,219,59,10,1,0,0
2025-02-14 15:23:26,0,1,1,0,1,1,219,59,10,1,0,0
2025-02-14 15:23:27,0,1,1,0,1,1,219,59,10,1,0,0
2025-02-14 15:23:28,0,1,1,0,1,1,210,57,8,0,0,0
2025-02-14 15:23:29,0,1,1,0,1,1,210,57,8,0,0,0
2025-02-14 15:23:30,0,1,1,0,1,1,210,57,8,0,0,0
2025-02-14 15:23:31,1,1,1,1,1,1,285,77,12,0,0,0
2025-02-14 15:23:32,1,1,1,1,1,1,285,77,12,0,0,0
2025-02-14 15:23:33,1,1,1,1,1,1,285,77,12,0,0,0
2025-02-14 15:23:34,1,1,1,1,1,1,270,73,12,1,0,0
2025-02-14 15:23:35,1,1,1,1,1,1,270,73,12,1,0,0
2025-02-14 15:23:36,0,0,0,0,0,0,270,73,12,1,0,0
2025-02-14 15:23:37,0,0,0,0,0,0,255,68,11,1,0,0
2025-02-14 15:23:38,0,0,0,0,0,0,255,68,11,1,0,0
2025-02-14 15:23:39,0,0,0,0,0,0,255,68,11,1,0,0
2025-02-14 15:23:40,0,1,1,0,1,1,291,76,13,1,0,0
2025-02-14 15:23:41,0,1,1,0,1,1,291,76,13,1,0,0
2025-02-14 15:23:42,0,1,1,0,1,1,291,76,13,1,0,0
2025-02-14 15:23:43,0,0,0,0,0,0,297,78,12,1,0,0
2025-02-14 15:23:44,0,0,0,0,0,0,297,78,12,1,0,0
2025-02-14 15:23:45,0,0,0,0,0,0,297,78,12,1,0,0
2025-02-14 15:23:46,0,1,1,0,1,1,324,83,11,1,0,0
2025-02-14 15:23:47,0,1,1,0,1,1,324,83,11,1,0,0
2025-02-14 15:23:48,0,1,1,0,1,1,324,83,11,1,0,0
2025-02-14 15:23:49,1,2,2,1,2,2,324,83,14,1,0,0
2025-02-14 15:23:50,1,2,2,1,2,2,324,83,14,1,0,0
2025-02-14 15:23:51,1,2,2,1,2,2,324,83,14,1,0,0
2025-02-14 15:23:52,0,1,1,0,1,1,333,86,14,1,0,0
2025-02-14 15:23:53,0,1,1,0,1,1,333,86,14,1,0,0
2025-02-14 15:23:54,0,1,1,0,1,1,333,86,14,1,0,0
2025-02-14 15:23:55,0,1,1,0,1,1,339,84,13,1,0,0
2025-02-14 15:23:56,0,1,1,0,1,1,339,84,13,1,0,0
2025-02-14 15:23:57,0,1,1,0,1,1,339,84,13,1,0,0
2025-02-14 15:23:58,0,0,0,0,0,0,333,79,13,1,0,0
2025-02-14 15:23:59,0,0,0,0,0,0,333,79,13,1,0,0
2025-02-14 15:24:00,0,0,0,0,0,0,333,79,13,1,0,0
2025-02-14 15:24:01,0,0,0,0,0,0,267,59,9,1,0,0
2025-02-14 15:24:02,0,1,1,0,1,1,267,59,9,1,0,0
2025-02-14 15:24:03,0,1,1,0,1,1,267,59,9,1,0,0
2025-02-14 15:24:04,0,1,1,0,1,1,276,61,11,1,0,0
2025-02-14 15:24:05,0,1,1,0,1,1,276,61,11,1,0,0
2025-02-14 15:24:06,0,1,1,0,1,1,276,61,11,1,0,0
2025-02-14 15:24:07,0,1,1,0,1,1,285,63,14,1,0,0
2025-02-14 15:24:08,0,1,1,0,1,1,285,63,14,1,0,0
2025-02-14 15:24:09,0,0,0,0,0,0,285,63,14,1,0,0
2025-02-14 15:24:10,0,0,0,0,0,0,228,48,14,1,0,0
2025-02-14 15:24:11,0,0,0,0,0,0,228,48,14,1,0,0
2025-02-14 15:24:12,0,1,1,0,1,1,228,48,14,1,0,0
2025-02-14 15:24:13,0,1,1,0,1,1,213,46,14,1,0,0
2025-02-14 15:24:14,0,1,1,0,1,1,213,46,14,1,0,0
2025-02-14 15:24:15,0,0,0,0,0,0,213,46,14,1,0,0
2025-02-14 15:24:16,0,0,0,0,0,0,198,43,15,1,0,0
2025-02-14 15:24:17,0,0,0,0,0,0,198,43,15,1,0,0
2025-02-14 15:24:18,0,0,0,0,0,0,198,43,15,1,0,0
2025-02-14 15:24:19,0,0,0,0,0,0,183,40,12,1,0,0
2025-02-14 15:24:20,0,0,0,0,0,0,183,40,12,1,0,0
2025-02-14 15:24:21,0,0,0,0,0,0,183,40,12,1,0,0
